Ussher	Jewish			Hebrew	Greek	Samaritan										
~710 BC	~698 BC	Micah's prophecies	Mic.3-7 (see 6:16)													Micah between 750 BC and 700 BC
709 BC	697 BC	Manasseh Regent of Judah	2Kgs.21.1-18;2Chr.33.1-20; Isa.56-66													
708 BC	696 BC															
699 BC	688 BC															
698* BC	687 BC	Manasseh full King 														
677 BC	~677 BC	Manasseh taken to Babylon														
643 BC	643 BC	Amon King of Judah	2Kgs.21.19-26;2Chr.33.21-25													
642 BC	642 BC															
641 BC	641 BC	Josiah King of Judah	2Kgs.22.1-23.30;2Chr.34.1-35.27													
634 BC	~634 BC	Josiah purges the Temple	2Chr.34:3													
~630 BC	~630 BC	Zephaniah's prophecies	Book of Zephaniah													Around 630 BC .
"	"	Josiah removes idol altars	2Chr.34.3-7													
~629`	~629 BC	Jeremiah prophesies to Josiah	Jer.1-6													Between 627 BC and 586 BC 
~626 BC	~625 BC	Habakkuk's prophecies	Book of Habakkuk													A short time before 605 BC (when the Babylonian army arrived!)
624 BC	~624 BC	Book of the Law found	2Kgs.22.3-23.25;2Chr.34.3-35.19													
623 BC	~623 BC	Passover restored														
610 BC	609 BC	Battle of Megiddo	2Kgs.23.29-30;2Chr.35.20-24; Jer.45-46													
"	"	Jehoahaz King of Judah	2Kgs.23.31-35;2Chr.36.1-4													
"	"	Jehoiakim King of Judah	2Kgs.23.36-24.7;2Chr.36.5-8													
609 BC	"	Prophecies before the exile	Jer.7-26													
608 BC	~608 BC															
607 BC	~607 BC	1st Captivity - incl. Daniel	Jer.25:3,8,29; 26:20; 35; 36:9; 46:2. 2Kgs.24:7. Dan.1:1-17. Is.39:7													
~607-534	~607 BC	Daniel's prophecies and life	Book of Daniel													Roughly 605 BC to 539 BC.
606 BC	~606 BC	Burning Jeremiah's scroll	Jer.36													
604 BC	~604 BC	Jehoiakim rebels	2Kgs.24:1. Jer22:19. Dan2:1,36													
599 BC	598 BC	Jehoiachin King of Judah	2Kgs.24.7-17;2Chr.36.9-11													Dec 9th - Mar 16th
599 BC	597 BC	Capture of Jerusalem	2Kgs.24.10-13													Mar 16th
"	"	2nd Captivity - incl. Johoiachin	2Kgs.24.14													Mar 16th
"	"	Zedekiah King of Judah	2Kgs.24.18-25.7;2Chr.36.11-21													Mar 16th - July 18th
"	~599 BC	Jeremiah writes to the exiles	Jer.29													
595 BC	~595 BC	Ezekiel's prophecies to the exiles	Jer. 27-28; 50-51. Ezk.1-19													
594 BC	~594 BC	Zedekiah allies with Hophra of Egypt	Ezk.20-23. 2Chr.36:13. Jer.34:7													
~590 BC	~590 BC	Jeremiah buys a field; imprisoned	Jer.32-37													
"	"	Jerusalem under siege	2Kgs.25.1. Jer.30: 2,4; 31:31; 32:6; 33:15-26; 34; 37:5,17; 38-39:2. 													
																
588 BC	586 BC	The fall of Jerusalem	2Kgs.25; Jer.39.1.6;Jer.52.1-14, 17-23													Ussher is 587, but he assumed Nisan years. Dr. William Lloyd corrected this in 1701
"	"	3rd Captivity - incl. Zedekiah	2Kgs.25.11-21; Jer.39.7-10;Jer.52.15-16, 24-30													
"	"	Lamentations	Book of Lamentations													Around 586 BC.
"	"	Gedaliah murdered. Escape to Egypt	2Kgs.25.22-26; Jer.40-44													
~587 BC	~585 BC	Obadiah's prophecies	Book of Obadiah													about 600 BC (or about 250 years earlier)
570 BC	~570 BC	Nebuchadnezzar's dream	Dan.4													
562 BC	~562 BC	Jehoiachin released	2Kgs.25.27-30; Jer.52.31-34													
538 BC	~538 BC	Emperor Darius, Belshazzar's Feast	Dan 5-7; Is 13, 44-45; Hab 2; Jer 25,50,52													
"	"	Emperor Cyrus	Ezra 1-3:7; Neh 7; 2Chr 36:21, 1Chr 9:3													
537 BC	~537 BC															
536 BC	~536 BC	Cyrus' decree to rebuild Jerusalem  (1st Cap.+70)	Jer.25.9-11; Isa.44.28													
"	"	Cyrus sends Zerubbabel to Jerusalem	Ezra 1-6													
535 BC	~535 BC	Daniel's vision of the future	Dan 10-12; Ezra 4:5													
529 BC	~529 BC	Emperor Ahasuerus (Cambyses)  (2nd Cap.+70)	Ezra 4:6													
522 BC	~522 BC	Emperor Artaxerxes (Darius)	Ezra 4:7													
~520 BC	~520 BC	Haggai's prophecies	Book of Haggai													Around 520 BC.
"	"	Zechariah's prophecies 1-8	Zech.1-8													Around 520 BC.
"	"	Zerubbubel & Joshua<H3091J> work on temple	Hag 1,2; Zech 1-6													
519	~519 BC	Emperor Ahasuerus (Xerxes) & Vashti	Esther 1-3													
518 BC	~518 BC	Temple building renewed	Ezra 5:6; Zech 7,8													
510 BC	~510 BC	Plot of Haman	Esther 3-8													
509 BC	~509 BC	Feast of Purim (3rd Cap.+70)	Esther 8:17													
515 BC	~515 BC	Temple dedicated	Ezra 2:36-39, 6:15-22													
~487 BC	~487 BC	Zechariah's prophecies 9-14	Zech.9-14													
"	"	Artaxerxes sends Ezra	Ezra 7-9													
																
456 BC	~456 BC	Ezra's covenant	Ezra 10													
																
446-434	~446 BC	Artaxerxes sends Nehemiah	Neh 1-12													
445 BC	445 BC	Artaxerxes' decree to rebuild walls	Dan.9.25													
434 BC	~434 BC	Nehemiah revisits for a year	Neh 13:6													
~397 BC	~397 BC	Malachi's prophecies	Book of  Malachi													between 440 BC and 400 BC
331 BC	~331 BC	Emperor Alexander the Great	Dan.11.3-4													
320 BC	~320 BC	Ptolomy 1 of Egypt captures Jerusalem														
301 BC	280 BC	HP Simon 1 (descendant of Zadok - 'the Just' acc to Josephus)														
292 BC	260 BC	HP Eleazar (brother of Simon I														
259 BC	245 BC	HP Manasseh (uncle of Eleazar)														
233 BC	240 BC	HP Onias II (son of Simon I)														
219 BC	218 BC	HP Simon II (son of Onias II) Repairs Temple	Acts 2:10; Ecclus 50; 2+3 Macc													
199 BC	185 BC	HP Onias III (son of Simon II)														
																
187 BC	~187 BC	Seleucus 4 demands Temple money	2Macc 3:4													
175 BC	~175 BC	Jason son of Simon II														
171 BC	~171 BC	High Priesthood sold to highest bidder														
168 BC	168 BC	Antiochus Epiphanes attacks Jerusalem	1Macc 1, 2Macc 5													
167 BC	~167 BC	Judas Maccabaeus leads revolt	1Macc 2, 2Macc 8													
166 BC	166 BC															
165 BC	165 BC	Temple rededicated	1Macc 4, 2Macc 10													
																
161 BC	~161 BC															
160 BC	~160 BC	Jonathan Maccabaeus is ruler & priest	1Macc 7-15													
																
143 BC	142 BC															
																
133 BC	134 BC	John Hyrcanus I, son of Simon	1Macc 16													
																
108 BC	104 BC	Aristobalus I - King & High Priest, Hasmonean														
																
105 BC	103 BC	Alexander Jannaeus - King & High Priest														
																
78 BC	67 BC	Alexandra rules through Hyrcanus II														
																
63 BC	63 BC	Pompey imposes Roman rule														
																
40 BC	~40 BC	Antigonus - King & High Priest														
37 BC	~37 BC	Herod the Great<G2264G>														
																
27 BC	27 BC	Emperor Augustus														
6 BC	7 BC	John the Baptist<G2491G> promised	Luke.1.5-25													
6 BC	"	Birth of Jesus promised	Luke.1.26-56;Matt.1.18-24													
6 BC	"	Birth of John the Baptist<G2491G>	Luke.1.57-80													
4 BC	5 BC	Birth of Jesus	Luke.2.1-20; Matt.1.25													
"	"	Jesus presented in the Temple	Luke.2.21-40													
"	"	Visit of the Magi	Matt.2.1-12													Two theories in Finnegan (550-551). Summer/late-fall, or Dec 25. Star seen on Jun 17th
"	"	Flight to Egypt	Matt.2.13-18													
	4 BC	H. the Great<G2264G> dies. Replaced by H.Archelaus<G0745> (Judea) ,  H. Antipas<G2264H> (W. Galilee), Philip I<G5376H> (C. Philippi)														Between January and Passover, probably later rather than earlier
		Return from Egypt. Live in Nazareth.	Matt.2.19-23													By tradition two years after the flight
	AD 6	H. Archelaus<G0745> deposed by Romans. Census of Quirinius.														Archelaus deposed by Augustus
AD 8	AD 7/8	Jesus in the Temple at age 12	Luke.2.41-52													
	AD 9															
	AD 12															
	AD 14															
	AD 15															
	AD 26															
AD 26	AD 26	Public ministry of John the Baptist<G2491G>	Matt.3.1-12; Mark.1.1-8; Luke.3.1-20; John.1.19-28													The 15th year of Tiberias's reign, Luke 3:1. Tiberias's here was his co-regency with Augustus begining in AD 12, placing his 15th year in the year of 26/27.  Rainer Reisner, Paul's Early Period, Chronology, Mission Strategy, Theology (Grand Rapids, Michigan/Cambridge, U.K., 1998), 39-41.
AD 27	AD 26	Jesus's baptism	Matt.3.13-17; Mark.1.9-11; Luke.3.21-22; John.1.29-34													Luke 3:23, Jesus was about 30 years of age when he began his ministry. Reisner, Paul's Early Period, 40
"	AD 26	Jesus's temptation in the desert	Matt.4.1-11; Mark.1.12-13; Luke.4.1-13													
	AD 26	The first disciples encounter Jesus	John 1:19-51													
	AD 26	Wedding at Cana	John 2:1-11													
	AD 27 Spring	Jesus in Jerusalem for Passover	John 2:13-3:36													
	AD 27	Jesus through Samaria to Galilee	John 4:1-54													John 4:35 is not a chronological marker for the narrative, but a proverb concerning the time period from sowing to harvest.
	AD 27	Jesus at unnamed feast in Jerusalem	John 5:1-47													
AD 30 *	AD 27	John the Baptist<G2491G> imprisoned and beginning of Jesus's public ministry	Matt.4.12-17; Mark.1.14; Luke.4.14-30													
AD 31	"	Opposition at home and a new headquarters	Matt.4.13-17; Mark.1.14-15; Luke.4.14-31; John.4.46-54													
"	"	Disciples called	Matt.4.18-24; Matt.8.2-4; Matt.8.14-17; Matt.9.1-17; Mark.1.16-2.22; Luke.4.31-5.39													
"	"	Sabbath controversies	Matt.4.25; Matt.12.1-21; Mark.2.23-3.12; Luke.6.1-11; John.5.1-47													Matt 12:1 and parallels around Passover 31. John 5:1 Oct 31
"	AD 28	Appointment of the Twelve and Sermon on the Mount	Matt.5.1-7.29; Mark.3.13-19; Luke.6.12-49													
"	"	Growing fame; emphasis on repentance	Matt.8.1; Matt.8.5-13; Matt.11.2-30; Luke.7.1-50													
"	"	First public rejection by Jewish leaders	Matt.12.22-50; Mark.3.20-35; Luke.8.1-3; Luke.8.19-21													
"	"	Secrets about the kingdom taught in parables	Matt.13.1-52; Mark.4.1-34; Luke.8.4-18													
"	"	Continuing opposition	Matt.8.18; Matt.8.23-34; Matt.9.18-34; Matt.13.54-58; Mark.4.35-6.6; Luke.8.22-56													
AD 32	AD 29	Final Galilean campaign	Matt.9.35-11.1; Matt.14.1-12; Mark.6.6-30; Luke.9.1-10													
"	AD 29 Spring	Jesus feeds 5000/Lesson on the bread of life	Matt.14.13-36; Mark.6.31-56; Luke.9.10-17; John.6.1-71													
"	"	Lesson on the yeast of the Pharisees, Sadducees and Herodians	Matt.15.1-16.12; Mark.7.1-8.26; John.7.1													
"	"	Lesson of Messiahship learned and confirmed	Matt.16.13-17.13; Mark.8.27-9.13; Luke.9.18-36													
"	"	Lessons on responsibility to others	Matt.17.14-18.35; Mark.9.14-50; Luke.9.37-50													
"	AD 29 October	Journey to Jerusalem for Tabernacles	John.7.2-10:21													Why would Colin put Matt.8.19-22; Luke.9.51-62 in this section?
"	"	Private lessons on loving service and prayer	Luke.10.1-11.13													
"	"	Second debate with the scribes and Pharisees	Luke.11.14-13.21													
"	AD 29 December	Teaching at the Feast of Dedication	John.9.1-10.39													
"	"	Principles of discipleship	Luke.13.22-17.10; John.10.40-42													
"	"	Raising of Lazarus and a brief tour through Samaria and Galilee	Luke.17.11-37; John.11.1-54													
AD 33	AD 30	Teaching on final journey to Jerusalem	Matt.19.1-20.34; Mark.10.1-52; Luke.18.1-19.28													
"	"	Arrival at Bethany	John.12.1-8													Bethany over the Jordan, not the same Bethany as in Matt.26
"	"	Crowd came to see Jesus	John.12.9-11													
"	"	Triumphal Entry into Jerusalem	Matt.21.1-11; Mark.11.1-11;  Luke.19.28-44; John.12.12-19													
"	"	Jesus curses the fig tree	Mark.11.12-14													NB: discrepancy between Matthew and Mark here
"	"	Cleansing of the temple	Matt.21.12-17; Mark.11.15-19; Luke.19.45-46													
"	"	The fig tree is withered	Matt.21.18-22; Mark.11.20-25													
"	"	Jesus teaches and disputes in the temple	Matt.21.23-23.39;  Mark.11.27-12.44; Luke.19.47-21:4													
"	"	Jesus on the Mount of Olives	Matt.24.1-25.46; Mark.13.1-37; Luke.21.5-36													
"	"	Jesus anointed at Bethany	Matt.26.4-13; Mark.14.1-9													
"	"	Judas arranges to betray Jesus	Matt.26.14-16; Mark.14.10-11; Luke.22.1-6													
"	"	The Last Supper	Matt.26.17-30; Mark.14.12-26; Luke.22.7-30; John.13.1-30													
"	"	Jesus's last teaching	Matt.26.31-35; Mark.14.27-31; Luke.22.31-38; John.13.31-17.26													
"	"	The garden of Gethsemane	Matt.26.36-46; Mark.14.32-42; Luke.22.39-46; John.18.1													
"	"	Jesus is arrested	Matt.26.47-56; Mark.14.43-52; Luke.22.47-53; John.18.2-12													(With Hastings) assuming arrested around midnight, so start a new day here.
"	"	Jesus's trials	Matt.26.57-27.26; Mark.14.53-15.15; Luke.22.54-23.25; John.18.13-19.16													
"	"	Crucifixion	Matt.27.27-56; Mark.15.16-41; Luke.22.26-49; John.19.17-37													
"	"	Burial	Matt.27.57-66; Mark.15.42-47; Luke.22.50-56; John.19.38-42													NB: the "next day" would start at sunset. Assuming this happened that evening
"	"	Resurrection	Matt.28.1-15; Mark.16.1-11; Luke.24.1-12; John.20.1-18													
"	"	Post-resurrection appearances	Matt.28.16-20; Mark.16.12-18; Luke.24.13-49; John.20.19-21.25; Acts.1.3-8													
"	"	Ascension	Luke.24.50-53; Mark.16.19-20; Acts.1.9-11													
"	"	Pentecost	Acts.2													
"	"	Peter's second sermon	Acts.4.31													
"	"	Death of Ananias<G0367G> and Sapphira	Acts.4.32-5.11													
"	"	Peter brought before Sanhedrin	Acts.5.12-42													
"	"	Selection of deacons	Acts.6.1-7													
"	"	Death of Stephen	Acts.6.8-7.60													
"	AD 31															
AD 34	AD 32	Evangelism outside Jerusalem by Peter & Philip	Act.8													
AD 35	AD 33	Conversion of Paul	Acts 9:1-7; Gal 1:15-16													
"	AD 34	Paul in Damascus and Arabia	Acts.9.8-25; Gal.1.16-17; 2 Cor. 11.32-33													
	AD 35															
	AD 36															
AD 37	AD 37	Paul to Jerusalem	Acts.9.26-29; Gal.1.18-20													
"	AD 38															
AD 38	AD 39	Peter's ministry along Sharon Plain & to Gentiles	Acts.9.32-43													
AD 41	"	Peter's ministry to Cornelius & Gentiles	Acts.10.1--11:18													
"	AD 40															
"	AD 41	Agrippa I<G2264I> gains Galilee														
AD 42	"	Others preach to Gentiles	Act.11.19-24													
AD 43	AD 42	Paul to Antioch	Acts.11.25-26													"for a whole year"
"	AD 43	Agabus's prediction of famine	Acts.11.27-28													[** when was the famine?. Suetonius, Lives of the Caesars, 18:2, there was a scarcity of grain because of long-continued droughts during the reign of Claudius (41-54); Josephus in Antiquities 20:101 says a great famine happened in Judea under the procurators, Cuspius Fadus (44-46) and Tiberius Alexander (46-48) and during that time Queen Helena of Adebene bought grain in Egypt and distributed it. So the famine may be getween 44-448.]
AD 43	AD 44	Paul and Barnabas's relief visit to Jerusalem	Acts.11.30													
AD 44	"	Execution of James	Acts.12.1-2													
"	"	Imprisonment of Peter. 	Acts.12.3-5													
"	"	Death of Herod Agrippa I<G2264I>	Acts.12.20-23													
"	AD 45															
AD 45	AD 46	Paul's 1st journey from Antioch with Barnabus	Acts.13:1-3													
"	"	 - visit Cyprus & Pamphylia	Acts.13.5-13													
"	AD 47 Spring 	 - visit Pisidian Antioch	Acts.13.14-52; 2 Tim. 3:11													
AD 46	AD 47 Summer 	 - visit Iconium	Acts.14.1-7; 2 Tim. 3:11													
"	AD 47 Fall 	 - visit Lystra & Derbe	Acts.14.8-21; 2 Tim. 3:11													
"	AD 47 Winter	 - return journey revisiting churches	Acts.14.21-23													
"	AD 48 Spring 	Paul and Barnabas return to Antioch	Acts.14.24-28													
AD 51 *	AD 48 Summer 	Judaisers cause dissension	Acts.15.1-4													
AD 52	AD 48 Summer 	Council of Jerusalem	Acts.15.5-21; Gal 1.1-11													
"	"	Paul, Barnabas and others return to Antioch with letter	Acts 15.22-35													
"	"	Confrontation of Peter and Paul in Antioch	Gal.2.11-14													
AD 58 *	"	Galatians written	Gal 2:11-21; Acts 15:30-35													written in Antioch immediately after the events
AD 53	AD 48 Winter	Paul's 2nd journey from Antioch (without Barnabus)	Acts.15.36-40													
"	"	 - visit Syria, Cilicia, Lystra, Derbe, Iconium, P. Antioch	Acts.15.41--16.4													
"	"	 - through Galatia to Macedonia	Acts.16.6-10													
"	AD 49 Spring 	 - in Philippi	Acts.16.11-40; 1 Thess 2:2													
"	AD 49 Summer 	 - in Thessalonica	Acts.17.1-9													
"	AD 49 Fall 	 - in Berea	Acts.17.10-15													
AD 54	"	 - in Athens	Acts.17.16-34													
"	AD 49-50 Winter	 - in Corinth	Acts.18.1-4													Suetonius, Lives of the Caesars, The Deified Claudius, 25:4 Since the Jews constantly made disturbances at the instigation of Chrestus, he expelled them from Rome. This occurred around 49 CE and Aquila and Priscilla may have come to Corinth as a result (Wright, Paul, A Biography, 212).
"	"	 - - Silas and Timothy join Paul	Acts 18:5-11; 1 Thess 1:1; 2 Thess 1:1													Wright, Paul, A Biography, 214 ff sees this as prompting the writing of 1 Thess. Silas/Silvanus and Timothy are co-authors with Paul.
AD 54	AD 50	 - - 1 Thessalonians written	1Thess.*													written in Corinth, 
AD 54	AD 51	 - - 2 Thessalonians written	2Thess.*													written in Corinth
AD 55	"	 - - judgement of Gallio	Acts 18:12-17													
"	"	 - in Ephesus	Acts.18.19-21													
AD 56	AD 52 Spring 	 - to Jerusalem then Antioch	Acts.18.22; Gal.2.1													
"	"	Apollos to Ephesus then Corinth	Acts.18.24--19.1													
"	AD 53	Paul's 3rd journey from Antioch through Galatia	Acts.18.23													Agrippa received Philip's territory in AD53
AD 57	"	 - in Ephesus	Acts.19.1-41													19:8, Paul spoke boldly in the synagogue for 3 months, then moved on to the hall of Tyrannus. Paul continued for 2 years (Acts 19:9-10).
AD 59	"	 -?- 1 Corinthians written	1Cor.*; 1Cor 16:19													written in Ephesus late in stay
"	AD 54	 - to Corinth? (a painful visit)	2Cor. 2:1; 2Cor. 13:1-2													
"	AD 55 Spring	 - imprisonment in Ephesus	2Cor. 1:8-10; 1Cor. 15:32; 													1Cor. 15:32 fighting with beasts may be metaphorical, 2Cor. 11:23, multiple imprisonments and beatings.
AD 64 *	"	 -?- Philippians written	Phil.*; Phil. 1:3; Col. 1:7; Philemon 1:23; Col. 4:7													Concerning the writing of Philippians: Paul spends considerable time in Ephesus, Philippians authored by Paul and Timothy (1:1), the Pastoral Letters place Timothy in Ephesus, Ephesus is  a prominent city in Asia, Phil. 1:13 says the gospel has become known throughout the whole imperial guard that his imprisonment is for Christ. An imperial residence could be there and greetings from those of Caesar's household is mentioned (3:21).
AD 64 *	"	 -?- Philemon written	Philemon 1:22, 23													Philemon 1:22: Paul likely visited Colossae after his release. The church in Colossae, inland from Ephesus seems to have been founded only recently with Philemon as one of its leaders.
AD 64 *	"	 -?- Colossians written	Col. 1:7; 4:12, Col. 4:7-9													Epaphrus is founder of church in Colossae (Col. 1:7; 4:12), Col. 4:7-9: Colossians is sent through Tychicus and Onesimus.
AD 60	AD 56	 - leaves Ephesus after a riot	Acts 19:23-41													
"	AD 56 Summer 	 - in Macedonia	Acts.20.1-2; 2Cor 2:12-13													
"	"	 -?- 2 Corinthians written	2Cor.*; 2Cor 2:12-13; 7:5-7, 13													written in Macedonia
AD 60	AD 56 Winter	 - in Greece (Corinth)	Acts.20.2-4													Ἑλλάς (hellas) 'Greece' (G1671): BDAG indicates in popular usage it could also designate the Roman province officially known as Achaia Nicopolis is roughly 12,5 km from   Philippi
"	"	 -?- Romans written	Rom.*; Rom 15:25-27; 16:1													written in Corinth
"	AD 57 Spring 	 - in Philippi & Troas (Eutychus raised)	Acts.20.3-6-12													"we sailed away from Philippi after the days of Unleavened Bread"
"	"	 - to Assos, Mitylene, Chios, Samos, Miletus (speaks to elders)	Acts.20.6-38													"where we stayed for seven days"
"	"	 - to Cos, Rhodes, Patara, Tyre, Caesarea	Acts.21.1-14													
"	"	 - to Jerusalem where Paul is arrested	Acts.21.15-16													Acts 20:16 Paul was hastening to be at Jerusalem, if possible, on the day of Pentecost
"	"	 - James written	James.*													
"	"	 - 1 Peter written	1Pet.*													
AD 61	AD 58	Paul tried by Felix, Festus and Agrippa II<G0067> in Caesarea	Acts 23:31-26:32													
AD 62	AD 59 Winter 	Paul sent to Rome but shipwrecked on Malta	Acts.27.1--28.10													"even the Fast was already over", The Fast refers to the Jewish Day of Atonement, indicating it was into October 59
AD 63	AD 60 Spring	 - to Syracuse, Rhegium, Puteoli, Rome 	Acts.28.11-16													"after three months we set sail in a ship that had wintered in the island"
"	AD 61	Paul imprisoned in Rome	Acts 28:17-31													
	AD 62	Martyrdom of James, brother of Jesus														Spring 62 in House. Other sources give 62 or sometimes 61. (Thought Finegan said 61 but cannot find again.)
	AD 63															
	AD 64															
AD 64	~AD 62+	 -?- Ephesians written	Eph.3.1; 4.1; 													
AD 64	"	 -?- Hebrews written	Heb.*													
AD 65 *	"	 -?- Titus written	Titus													It would appear from Titus 1:5 that titus had just been sent to Crete.
AD 65 *	"	 -?- 1 Timothy written	1Tim.*													
AD 66 *	"	 -?- 2 Timothy written	2Tim.*													
AD 66	"	 -?- 2 Peter written	2Pet.*													
AD 66	"	 -?- Jude written	Jude.*													
		Martyrdom of Paul and Peter														
	AD 68															
	AD 69															
	AD 70	Jerusalem beseieged														
	AD 71	Rabbis escape to Javneh														
	AD 72	Jerusalem destroyed														
AD 90	90	 -?- 1, 2, 3 John written	1Jn.*; 2Jn.*; 3Jn.*													
AD 96	96	 -?- Revelation written	Rev.*													
