aaa	Ghotuo
cto	Emberá-Catío
ctp	Western Highland Chatino
cts	Northern Catanduanes Bikol
ctt	Wayanad Chetti
ctu	Chol
cty	Moundadan Chetti
ctz	Zacatepec Chatino
cua	Cua
cub	Cubeo
cuc	Usila Chinantec
cuh	Gichuka
cui	Cuiba
cuj	Mashco Piro
cuk	San Blas Kuna
cul	Culina
cuo	Cumanagoto
cup	Cupeño
cuq	Cun
cur	Chhiling
cut	Teutila Cuicatec
cuu	Tai Ya
cuv	Cuvok
cuw	Chukwa
cux	Tepeuxila Cuicatec
cuy	Cuitlatec
cvg	Chug
cvn	Valle Nacional Chinantec
cwa	Kabwa
cwb	Maindo
cwd	Woods Cree
cwe	Kwere
cwg	Cheq Wong
cwt	Kuwaataay
cxh	Cha’ari
cya	Nopala Chatino
cyb	Cayubaba
cym	Welsh
cyo	Cuyonon
czh	Huizhou Chinese
czk	Knaanic
czn	Zenzontepec Chatino
czo	Min Zhong Chinese
czt	Zotung Chin
daa	Dangaléat
dac	Dambi
dad	Marik
dae	Duupa
dag	Dagbani
dah	Gwahatike
dai	Day
daj	Dar Fur Daju
dak	Dakota
dal	Dahalo
dam	Damakawa
dan	Danish
dao	Daai Chin
daq	Dandami Maria
dar	Dargwa
das	Daho-Doo
dau	Dar Sila Daju
dav	Dawida
daw	Davawenyo
dax	Dayi
daz	Moi
dba	Bangime
dbb	Deno
dbd	Dadiya
dbe	Dabe
dbf	Edopi
dbg	Dogul Dom Dogon
dbi	Ejuele
dbj	Ida’an
dbl	Dyirbal
dbm	Duguri
dbn	Duriankere
dbo	Dulubu
dbp	Duwai
dbq	Daba
dbr	Dabarre
dbt	Ben Tey Dogon
dbu	Bondum Dom Dogon
dbv	Dungu
dbw	Bankan Tey Dogon
dby	Dibiyaso
dcc	Deccan
dcr	Negerhollands
dda	Dadi Dadi
ddd	Dongotono
dde	Doondo
ddg	Fataluku
ddi	West Goodenough
ddj	Jaru
ddn	Dendi
ddo	Dido
ddr	Dhudhuroa
dds	Donno So Dogon
ddw	Dawera-Daweloor
dec	Dagik
ded	Dedua
dee	Dewoin
def	Dezfuli
deg	Degema
deh	Dehwari
dei	Demisa
dek	Dek
dem	Dem
dep	Pidgin Delaware
deq	Dendi
der	Deori
des	Desano
deu	Standard German
dev	Domung
dez	Dengese
dga	Southern Dagaare
dgb	Bunoge Dogon
dgc	Casiguran Dumagat Agta
dgd	Dagaari Dioula
dge	Degenang
dgg	Doga
dgh	Dghwede
dgi	Northern Dagara
dgk	Dagba
dgl	Andaandi
dgn	Dagoman
dgo	Dogri
dgr	Tlicho
dgs	Dogoso
dgt	Ndra’ngith
dgw	Daungwurrung
dgx	Doghoro
dgz	Daga
dhd	Dhundari
dhg	Dhangu-Djangu
dhi	Dhimal
dhl	Dhalandji
dhm	Zemba
dhn	Dangi
dho	Dhodia
dhr	Dhargari
dhs	Dhaiso
dhu	Dhurga
dhv	Drehu
dhw	Danuwar
dhx	Dhungaloo
dia	Dia
dib	South Central Dinka
dic	Lakota Dida
did	Didinga
dif	Diyari
dig	Digo
dih	Kumiai
dii	Dimbong
dij	Dai
dik	Southwestern Dinka
dil	Dilling
dim	Dime
dio	Dibo
dip	Northeastern Dinka
diq	Southern Zazaki
dir	Dirim
dis	Dimasa
diu	Gciriku
div	Maldivian
diw	Northwestern Dinka
dix	Dixon Reef
diy	Diuwe
diz	Ding
dja	Djadjawurrung
djb	Djinba
djc	Dar Daju Daju
djd	Djamindjung
dje	Zarma
djf	Djangun
dji	Djinang
djj	Djeebbana
djk	Aukan
djm	Jamsay Dogon
djn	Djauan
djo	Jangkang
djr	Djambarrpuyngu
dju	Kapriman
djw	Djawi
dka	Dakpakha
dkg	Kadung
dkk	Dakka
dkr	Kuijau
dks	Southeastern Dinka
dkx	Mazagway-Hidi
dlg	Dolgan
dlk	Dahalik
dlm	Dalmatian
dln	Darlong
dma	Duma
dmb	Mombo Dogon
dmc	Gavak
dmd	Madhi Madhi
dme	Dugwor
dmg	Upper Kinabatangan
dmk	Dawoodi
dml	Dameli
dmm	Dama
dmo	Kemedzung
dmr	East Damar
dms	Dampelas
dmu	Tebi
dmv	Dumpas
dmw	Mudburra
dmx	Dema
dmy	Sowari
dna	Upper Grand Valley Dani
dnd	Daonda
dne	Ndendeule
dng	Dungan
dni	Lower Grand Valley Dani
dnj	Dan
dnk	Dengka
dnn	Dzùùngoo
dno	Ndrulo
dnr	Danaru
dnt	Mid Grand Valley Dani
dnu	Danau
dnv	Danu
dnw	Western Dani
dny	Dení
doa	Dom
dob	Dobu
doc	Northern Dong
doe	Doe
dof	Domu
doh	Dong
dok	Dondo
dol	Doso
don	Toura
doo	Dongo
dop	Lukpa
doq	Dominican Sign Language
dor	Dori’o
dos	Dogosé
dot	Dass
dov	Dombe
dow	Doyayo
dox	Mositacha
doy	Dompo
doz	Dorze
dpp	Papar
drb	Dair
drc	Minderico
drd	Darmiya
dre	Dolpo
drg	Rungus
dri	C’Lela
drl	Paakantyi
drn	West Damar
dro	Daro-Matu Melanau
drq	Dura
drs	Gedeo
drt	Drents
dru	Rukai
dry	Darai
dsb	Lower Sorbian
dse	Sign Language of the Netherlands
dsh	Daasanach
dsi	Disa
dsk	Dokshi
dsl	Danish Sign Language
dsn	Dusner
dso	Desiya
dsq	Tadaksahak
dsz	Mardin Sign Language
dta	Daur
dtb	Labuk-Kinabatangan Kadazan
dtd	Ditidaht
dth	Adithinngithigh
dti	Ana Tinga Dogon
dtk	Tene Kan Dogon
dtm	Tomo Kan Dogon
dtn	Daatsʼíin
dto	Tommo So Dogon
dtp	Kadazan Dusun
dtr	Lotud
dts	Toro So Dogon
dtt	Toro Tegu Dogon
dtu	Tebul Ure Dogon
dty	Dotyali
dua	Duala
dub	Dubli
duc	Duna
due	Umiray Dumaget Agta
duf	Drubea
dug	Chiduruma
duh	Dungra Bhil
dui	Dumun
duk	Uyajitaya
dul	Inagta Alabat
dun	Dusun Deyah
duo	Dupaninan Agta
dup	Duano
duq	Dusun Malang
dur	Dii
dus	Dumi
duu	Drung
duv	Duvle
duw	Dusun Witu
dux	Duungooma
duy	Dicamay Agta
duz	Duli-Gey
dva	Duau
dwa	Dirya
dwk	Dawik Kui
dwr	Dawro
dwu	Dhuwal
dww	Dawawa
dwy	Dhuwaya
dwz	Dewas Rai
dya	Dyan
dyb	Dyaberdyaber
dyd	Dyugun
dyg	Villa Viciosa Agta
dyi	Djimini Sénoufo
dym	Yanda Dom Dogon
dyn	Dyangadi
dyo	Jola-Fonyi
dyr	Dyarim
dyu	Jula
dyy	Djabugay
dza	Tunzuii
dzd	Daza
dze	Djiwarli
dzg	Dazaga
dzl	Dzalakha
dzn	Dzando
dzo	Dzongkha
eaa	Karenggapa
ebc	Beginci
ebg	Ebughu
ebk	Eastern Bontok
ebo	Teke-Eboo
ebr	Tchaman
ebu	Kiembu
ecs	Ecuadorian Sign Language
eee	E
efa	Efai
efe	Efe
efi	Efik
ega	Ega
egl	Emilian
egm	Benamanga
ego	Eggon
ehs	Miyakubo Sign Language
ehu	Ehueun
eip	Lik
eit	Eitiep
eiv	Askopan
eja	Ejamat
eka	Ekajuk
eke	Ekit
ekg	Ekari
eki	Eki
ekk	Standard Estonian
ekl	Kol
ekm	Nulibie
eko	Koti
ekp	Ekpeye
ekr	Yace
eky	Eastern Kayah
ele	Elepi
elh	El Hugeirat
eli	Nding
elk	Elkei
ell	Greek
elm	Eleme
elo	El Molo
elu	Elu
ema	Emai-Iuleha-Ora
emb	Embaloh
eme	Tekó
emg	Eastern Mewahang
emi	Mussau-Emira
emk	Eastern Maninkakan
emm	Mamulique
emn	Eman
emp	Northern Emberá
emq	Eastern Minyag
ems	Pacific Gulf Yupik
emu	Eastern Muria
emw	Emplawas
emx	Erromintxela
emz	Mbessa
ena	Apal
enb	Markweeta
enc	En
end	Ende
enf	Forest Enets
eng	English
enh	Tundra Enets
enl	Enlhet
enn	Engenni
eno	Enggano
enq	Enga
enr	Emem
enu	Enu
env	Enwan
enw	Enwan
enx	Enxet
eot	Beti
epi	Epie
era	Eravallan
erg	Sie
erh	Eruwa
eri	Ogea
erk	South Efate
ero	Horpa
err	Erre
ers	Ersu
ert	Eritai
erw	Erokwanas
ese	Ese Eja
esg	Aheri Gondi
esh	Eshtehardi
esi	North Alaskan Inupiatun
esk	Northwest Alaska Inupiatun
esl	Egyptian Sign Language
esm	Esuma
esn	Salvadoran Sign Language
eso	Estonian Sign Language
esq	Esselen
ess	Saint Lawrence Island Yupik
esu	Central Yupik
esy	Eskayan
etb	Etebi
etc	Etchemin
eth	Ethiopian Sign Language
etn	Eton
eto	Eton
etr	Edolo
ets	Etsako
etu	Ejagham
etx	Iten
etz	Semimi
eud	Eudeve
eus	Basque
eve	Even
evh	Uvbie
evn	Evenki
ewe	Éwé
ewo	Ewondo
ext	Extremaduran
eya	Eyak
eyo	Keiyo
eza	Ezaa
eze	Uzekwe
faa	Fasu
fab	Fa d’Ambu
fad	Wagi
faf	Fagani
fag	Finongan
fah	Fali of Baissa
fai	Faiwol
faj	Kursav
fak	Fang
fal	South Fali
fam	Fam
fan	Fang
fao	Faroese
fap	Paloor
far	Fataleka
fau	Fayu
fax	Fala
fay	Southwestern Fars
fbl	West Albay Bikol
fcs	Quebec Sign Language
fer	Feroge
ffi	Foia Foia
ffm	Maasina Fulfulde
fgr	Fongoro
fia	Nobiin
fie	Fyer
fif	Faifi
fij	Fijian
fil	Filipino
fin	Finnish
fip	Fipa
fir	Firan
fit	Meänkieli
fiw	Fiwaga
fkk	Kirya-Konzel
fkv	Kven Finnish
fla	Kalispel-Pend d’Oreille
flh	Foau
fli	Fali Muchella
fll	North Fali
fln	Flinders Island
flr	Fuliiru
fly	Flaaitaal
fmp	Fe’fe’
fmu	Far Western Muria
fnb	Fanbak
fng	Pidgin Bantu
fni	Fania
fod	Foodo
foi	Foi
fom	Foma
fon	Fon
for	Fore
fos	Siraya
fpe	Equatorial Guinean Pidgin
fqs	Momu
fra	French
frc	Cajun French
frd	Fordata
frp	Arpitan
frq	Forak
frr	Northern Frisian
frs	East Frisian Low Saxon
frt	Kiae
fry	Frisian
fse	Finnish Sign Language
fsl	French Sign Language
fss	Finland-Swedish Sign Language
fub	Adamawa Fulfulde
fuc	Pulaar
fud	East Futuna
fue	Borgu Fulfulde
fuf	Pular
fuh	Western Niger Fulfulde
fui	Bagirmi Fulfulde
fuj	Ko
fum	Fum
fun	Iatê
fuq	Central-Eastern Niger Fulfulde
fur	Friulian
fut	Futuna-Aniwa
fuu	Fulu
fuv	Nigerian Fulfulde
fuy	Fuyug
fvr	Fur
fwa	Fwâi
fwe	Fwe
gaa	Ga
gab	Gabri
gac	Mixed Great Andamanese
gad	Gaddang
gae	Guarequena
gaf	Gende
gag	Gagauz
gah	Alekano
gai	Mbore
gaj	Gadsup
gak	Gamkonora
gal	Galolen
gam	Kandawo
gan	Gan Chinese
gao	Gants
gap	Gal
gaq	Gata’
gar	Galeya
gas	Adiwasi Garasia
gat	Aziana
gau	Mudhili Gadaba
gaw	Nobonob
gax	Borana-Arsi-Guji Oromo
gay	Gayo
gaz	West Central Oromo
gbb	Kaytetye
gbd	Karajarri
gbe	Niksek
gbf	Gaikundi
gbg	Gbanziri
gbh	Defi Gbe
gbi	Galela
gbj	Bodo Gadaba
gbk	Gaddi
gbl	Gamit
gbm	Garhwali
gbn	Mo’da
gbo	Northern Grebo
gbp	Gbaya-Bossangoa
gbq	Gbaya-Bozoum
gbr	Gbagyi
gbs	Gbesi Gbe
gbu	Gagadu
gbv	Gbanu
gbw	Gabi-Gabi
gbx	Eastern Xwla Gbe
gby	Gbari
gbz	Zoroastrian Dari
gcc	Mali
gcd	Ganggalida
gce	Galice
gcf	Guadeloupean French Creole
gcl	Grenadian English Creole
gcn	Gaina
gcr	Guianese French Creole
gct	Colonia Tovar German
gda	Gade Lohar
gdb	Pottangi Ollar Gadaba
gdc	Gugu Badhun
gdd	Gedaged
gde	Gude
gdf	Guduf-Gava
gdg	Gaꞌdang
gdh	Gadjerawang
gdi	Gundi
gdj	Gurdjar
gdk	Gadang
gdl	Dirasha
gdm	Laal
gdn	Umanakaina
gdo	Ghodoberi
gdq	Mehri
gdr	Wipi
gds	Ghandruk Sign Language
gdt	Kungardutyi
gdu	Gudu
gdx	Godwari
gea	Geruma
geb	Kire
gec	Gboloo Grebo
ged	Gade
gef	Gerai
geg	Gengle
geh	Hutterite German
gei	Gebe
gej	Gen
gek	Ywom
gel	ut-Ma’in
geq	Geme
ges	Geser-Gorom
gev	Eviya
gew	Gera
gex	Garre
gey	Enya
gez	Geez
gfk	Patpatar
gft	Gafat
gga	Gao
ggb	Gbii
ggd	Gugadj
gge	Gurr-goni
ggg	Gurgula
ggk	Kungarakany
ggl	Ganglau
ggt	Gitua
ggu	Gban
ggw	Gogodala
gha	Ghadamès
ghe	Southern Ghale
ghh	Northern Ghale
ghk	Geko Karen
ghl	Ghulfan
ghn	Ghanongga
gho	Ghomara
ghr	Ghera
ghs	Guhu-Samane
ght	Kuke
gia	Kija
gib	Gibanawa
gic	Gail
gid	Gidar
gie	Guébie
gig	Goaria
gih	Githabul
gii	Girirra
gil	Kiribati
gim	Gimi
gin	Hinukh
gip	Gimi
giq	Green Gelao
gir	Red Gelao
gis	North Giziga
git	Gitxsan
giu	Mulao
giw	Duoluo
gix	Gilima
giy	Giyug
giz	Giziga
gjk	Kachi Koli
gjm	Gunditjmara
gjn	Gonja
gjr	Gurindji Kriol
gju	Gojri
gka	Guya
gkd	Magɨ
gke	Ndai
gkn	Gokana
gko	Kok-Nar
gkp	Guinea Kpelle
gku	‡Ungkue
gla	Scottish Gaelic
glb	Belning
glc	Bon Gula
gld	Nanai
gle	Irish
glg	Galician
glh	Northwest Pashai
glj	Gula Iro
glk	Gilaki
gll	Garlali
glo	Galambi
glr	Glaro-Twabo
glu	Gula
glv	Manx
glw	Glavda
gly	Gule
gma	Gambera
gmb	Gula’alaa
gmd	Mághdì
gmg	Magiyi
gmm	Gbaya-Mbodomo
gmn	Gimnime
gmr	Mirning
gmu	Gumalu
gmv	Gamo
gmx	Magoma
gmz	Mgbolizhia
gna	Kaansa
gnb	Gangte
gnc	Guanche
gnd	Zulgo-Gemzek
gne	Ganang
gng	Ngangam
gnh	Lere
gni	Gooniyandi
gnj	Ngen
gnk	ǁGana
gnl	Gangulu
gnm	Ginuman
gnn	Gumatj
gno	Northern Gondi
gnq	Gana
gnr	Gureng Gureng
gnt	Wartha Thuntai
gnu	Gnau
gnw	Western Bolivian Guaraní
gnz	Ganzi
goa	Guro
gob	Playero
goc	Gorakor
god	Godié
goe	Gongduk
gof	Gofa
gog	Gogo
goi	Gebusi
goj	Gowlan
gok	Gowli
gol	Gola
gom	Goan Konkani
goo	Gone Dau
gop	Yeretuar
goq	Gorap
gor	Gorontalo
gos	Gronings
gou	Gavar
gov	Goo
gow	Gorowa
gox	Gubu
goy	Goundo
goz	Gozarkhani
gpa	Gupa-Abawa
gpe	Ghanaian Pidgin English
gpn	Tayap
gqa	Ga’anda
gqi	Guiqiong
gqn	Guana
gqr	Gor
gqu	Qau
gra	Rajput Garasia
grc	Ancient Greek
grd	Guruntum-Mbaaru
grg	Madi
grh	Tugbiri-Niragu
gri	Ghari
grj	Southern Grebo
grm	Kota Marudu Talantang
gro	Groma
grq	Gorovu
grr	Taznatit
grs	Gresi
grt	Garo
gru	Kistane
grv	Central Grebo
grw	Gweda
grx	Muno
gry	Barclayville Grebo
grz	Guramalum
gse	Ghanaian Sign Language
gsg	German Sign Language
gsl	Gusilay
gsm	Guatemalan Sign Language
gsn	Nema
gso	Southwest Gbaya
gsp	Wasembo
gss	Greek Sign Language
gsw	Alemannic
gta	Guató
gtu	Aghu-Tharnggala
gua	Shiki
gub	Guajajára
guc	Wayuu
gud	Yocoboué Dida
gue	Gurindji
guf	Gupapuyngu
gug	Paraguayan Guaraní
guh	Guahibo
gui	Eastern Bolivian Guaraní
guj	Gujarati
guk	Gumuz
gul	Sea Island English Creole
gum	Misak
gun	Mbyá Guaraní
guo	Guayabero
gup	Gunwinggu
guq	Aché
gur	Farefare
gus	Guinean Sign Language
gut	Maléku Jaíka
guu	Yanomamö
guw	Gun
gux	Gourmanchéma
guz	Gusii
gva	Guana
gvc	Guanano
gve	Duwet
gvf	Golin
gvj	Guajá
gvl	Gulay
gvm	Gurmana
gvn	Kuku-Yalanji
gvo	Gavião do Jiparaná
gvp	Pará Gavião
gvr	Gurung
gvs	Gumawana
gvy	Guyani
gwa	Mbato
gwb	Gwa
gwc	Gawri
gwd	Ale
gwe	Gweno
gwf	Gowro
gwg	Moo
gwi	Gwich’in
gwj	ǀGwi
gwm	Awngthim
gwn	Gwandara
gwr	Gwere
gwt	Gawarbati
gwu	Guwamu
gww	Kwini
gwx	Gua
gxx	Wè Southern
gya	Northwest Gbaya
gyb	Garus
gyd	Kayardild
gye	Gyem
gyf	Gungabula
gyg	Gbayi
gyi	Gyele
gyl	Gayil
gym	Ngäbere
gyn	Guyanese English Creole
gyo	Gyalsumdo
gyr	Guarayu
gyy	Gunya
gyz	Gyaazi
gza	Ganza
gzi	Gazi
gzn	Gane
haa	Han
hab	Hanoi Sign Language
hac	Gurani
had	Hatam
hae	Eastern Oromo
haf	Haiphong Sign Language
hag	Hanga
hah	Hahon
haj	Hajong
hak	Hakka Chinese
hal	Halang
ham	Hewa
han	Hangaza
hao	Hakö
hap	Hupla
haq	Ha
har	Harari
has	Haisla
hat	Haitian Creole
hau	Hausa
hav	Havu
haw	Hawaiian
hax	Southern Haida
hay	Haya
haz	Hazaragi
hba	Hamba
hbb	Nya Huba
hbn	Heiban
hbo	Ancient Hebrew
hbu	Habun
hca	Andaman Hindi Creole
hch	Huichol
hdn	Northern Haida
hds	Honduran Sign Language
hdy	Hadiyya
hea	Northern Qiandong Miao
heb	Hebrew
hed	Herdé
heg	Helong
heh	Hehe
hei	Heiltsuk
hem	Hemba
her	Herero
hgm	Hai|ǁom
hgw	Haigwai
hhi	Hoia Hoia
hhr	Kerak
hhy	Hoyahoya
hia	Lamang
hib	Hibito
hid	Hidatsa
hif	Fiji Hindi
hig	Kamwe
hih	Pamosu
hii	Hinduri
hij	Hijuk
hik	Seit-Kaitetu
hil	Hiligaynon
hin	Hindi
hio	Tshuwau
hir	Himarimã
hiw	Hiw
hix	Hixkaryána
hji	Haji
hka	Kahe
hke	Hunde
hkh	Khah
hkk	Hunjara-Kaina Ke
hkn	Mel-Khaonh
hks	Hong Kong Sign Language
hla	Halia
hlb	Halbi
hld	Halang Doan
hle	Hlersu
hlt	Matu Chin
hma	Southern Mashan Miao
hmb	Humburi Senni Songhay
hmc	Central Huishui Miao
hmd	Large Flowery Miao
hme	Eastern Huishui Miao
hmf	Hmong Don
hmg	Southwestern Guiyang Miao
hmh	Southwestern Huishui Miao
hmi	Northern Huishui Miao
hmj	Ge
hml	Luopohe Miao
hmm	Central Mashan Miao
hmo	Hiri Motu
hmp	Northern Mashan Miao
hmq	Eastern Qiandong Miao
hmr	Hmar
hms	Southern Qiandong Miao
hmt	Hamtai
hmu	Hamap
hmv	Hmong Dô
hmw	Western Mashan Miao
hmy	Southern Guiyang Miao
hmz	Sinicized Miao
hna	Mina
hnd	Southern Hindko
hne	Chhattisgarhi
hng	Hungu
hnh	ǁAni
hni	Hani
hnj	Hmong Njua
hnn	Hanunoo
hno	Northern Hindko
hns	Sarnami Hindustani
hnu	Hung
hoa	Hoava
hob	Mari
hoc	Ho
hod	Holma
hoe	Horom
hoh	Hobyót
hoi	Holikachuk
hoj	Haroti
hol	Holu
hom	Homa
hoo	Holoholo
hop	Hopi
hor	Horo
hos	Ho Chi Minh City Sign Language
hot	Malei
hov	Hovongan
how	Honi
hoy	Holiya
hoz	Hozo
hpo	Hpon
hps	Hawai‘i Sign Language
hra	Hrangkhol
hrc	Niwer Mil
hre	Hre
hrk	Haruku
hrm	Horned Miao
hro	Haroi
hrp	Nhirrpi
hrt	Hértevin
hru	Hruso
hrv	Croatian
hrw	Warwar Feni
hrx	Hunsrik
hrz	Harzani
hsb	Upper Sorbian
hsh	Hungarian Sign Language
hsl	Hausa Sign Language
hsn	Xiang Chinese
hss	Harsusi
hti	Hoti
hto	Minika Witoto
hts	Hadza
htu	Hitu
hub	Wampís
huc	ǂ’Amkhoe
hud	Huaulu
hue	San Francisco del Mar Huave
huf	Humene
hug	Huachipaeri
huh	Huilliche
hui	Huli
huj	Northern Guiyang Miao
huk	Hulung
hul	Vula’a
hum	Hungana
hun	Hungarian
huo	Hu
hup	Hupa
huq	Tsat
hur	Halkomelem
hus	Huastec
hut	Humla
huu	Murui Witoto
huv	San Mateo del Mar Huave
huw	Hukumina
hux	Muinani Witoto
huy	Hulaulá
huz	Hunzib
hvc	Haitian Vodoun Culture Language
hve	San Dionisio del Mar Huave
hvk	Haveke
hvn	Hawu
hvv	Santa María del Mar Huave
hwa	Wané
hwc	Hawaii Pidgin
hwo	Hwana
hya	Hya
hye	Armenian
hyw	Western Armenian
iai	Iaai
ian	Iatmul
iar	Purari
iba	Iban
ibb	Ibibio
ibd	Iwaidja
ibe	Akpes
ibg	Ibanag
ibh	Bih
ibl	Ibaloi
ibm	Robambami
ibn	Ibino
ibo	Igbo
ibr	Ibuoro
ibu	Ibu
iby	Ibani
ica	Ede Ica
ich	Etkywan
icl	Icelandic Sign Language
icr	Islander English Creole
ida	Luidakho-Luisukha-Lutirichi
idb	Indo-Portuguese
idc	Ajiya
idd	Ede Idaca
ide	Idere
idi	Idi
idr	Indri
ids	Idesa
idt	Idaté
idu	Idoma
ifa	Amganad Ifugao
ifb	Batad Ifugao
ife	Ifè
iff	Ifo
ifk	Tuwali Ifugao
ifm	Teke-Wuumu
ifu	Mayoyao Ifugao
ify	Keley-i Kallahan
igb	Ebira
ige	Igede
igg	Igana
igl	Igala
igm	Kanggape
ign	Ignaciano
igo	Isebe
igw	Igwe
ihb	Iha Based Pidgin
ihi	Ihievbe
ihp	Iha
ihw	Bidhawal
iii	Nuosu
iin	Thiin
ijc	Izon
ije	Biseni
ijj	Ede Ije
ijn	Kalabari
ijs	Southeast Ijo
ike	Eastern Canadian Inuktitut
ikh	Ikhin-Aokho
iki	Iko
ikk	Ika
ikl	Ikulu
iko	Olulumo-Ikom
ikp	Ikpeshi
ikr	Ikaranggal
iks	Inuit Sign Language
ikt	Inuinnaqtun
ikv	Iku-Gora-Ankwa
ikw	Ikwere
ikx	Ik
ikz	Ikizu
ila	Ile Ape
ilb	Ila
ilg	Garig-Ilgar
ili	Ili Turki
ilk	Bogkalot
ilm	Iranun
ilo	Ilocano
ilp	Iranun
ils	International Sign
ilu	Ili’uun
ilv	Ilue
ima	Mala Malasar
imi	Anamuxra
iml	Miluk
imn	Imonda
imo	Imbongu
imr	Imroing
imt	Imotong
inb	Inga
ind	Indonesian
ing	Deg Xinag
inh	Ingush
inj	Jungle Inga
inl	Indonesian Sign Language
inn	Isinay
ino	Inoke-Yate
inp	Iñapari
ins	Indian Sign Language
int	Intha
inz	Ineseño
ior	Inor
iou	Tuma-Irumu
iow	Iowa-Oto
ipi	Ipili
ipo	Ipiko
iqu	Iquitu
iqw	Ikwo
ire	Yeresiam
irh	Irarutu
iri	Rigwe
irk	Iraqw
irn	Irántxe
irr	Ir
iru	Irula
irx	Kamberau
iry	Iraya
isa	Isabi
isc	Isconahua
isd	Isnag
ise	Italian Sign Language
isg	Irish Sign Language
ish	Esan
isi	Nkem-Nkum
isk	Ishkashimi
isl	Icelandic
ism	Masimasi
isn	Isanzu
iso	Isoko
isr	Israeli Sign Language
ist	Istriot
isu	Isu
ita	Italian
itb	Binongan Itneg
itd	Southern Tidung
ite	Itene
iti	Inlaud Itneg
itk	Judeo-Italian
itl	Itelmen
itm	Itu Mbon Uzo
ito	Itonama
itr	Yawuno Teneyo
its	Isekiri
itt	Maeng Itneg
itv	Itawit
itw	Ito
itx	Itik
ity	Moyadan Itneg
itz	Itza’
ium	Iu Mien
ivb	Ibatan
ivv	Ivatan
iwk	I-wak
iwm	Iwam
iwo	Morop
iws	Sepik Iwam
ixc	Ixcatec
ixl	Ixil
iya	Iyayu
iyo	Mesaka
iyx	Yaka
izh	Ingrian
izm	Kizamani
izr	Izere
izz	Izii
jaa	Jamamadí
jab	Hyam
jac	Jakalteko
jad	Jahanka
jae	Yabem
jaf	Jara
jah	Jah Hut
jaj	Zazao
jak	Jakun
jal	Yalahatan
jam	Jamaican English Creole
jan	Jandai
jao	Yanyuwa
jaq	Yaqay
jas	New Caledonian Javanese
jat	Inku
jau	Yaur
jav	Javanese
jax	Jambi Malay
jay	Yan-nhangu
jaz	Jawe
jbe	Judeo-Berber
jbi	Badjiri
jbj	Arandai
jbk	Barikewa
jbm	Bijim
jbn	Nafusi
jbr	Jofotek-Bromnya
jbt	Jabutí
jbu	Jukun Takum
jbw	Yawijibaya
jcs	Konchri Sain
jct	Krimchak
jda	Jad
jdg	Jadgali
jdt	Judeo-Tat
jeb	Jebero
jee	Jerung
jeh	Jeh
jei	Yei
jek	Jeri Kuo
jel	Yelmek
jen	Dza
jer	Jere
jet	Manem
jeu	Jonkor Bourmataguil
jgb	Ngbee
jge	Judeo-Georgian
jgk	Gwak
jgo	Ngomba
jhi	Jehai
jhs	Jhyankot Sign Language
jia	Jina
jib	Jibu
jic	Tol
jid	Bu
jie	Jilbe
jig	Jingulu
jih	sTodsde
jii	Jiiddu
jil	Jilim
jim	Jimjimen
jio	Jiamao
jiq	Lavrung
jit	Jita
jiu	Youle Jinuo
jiv	Shuar
jiy	Buyuan Jinuo
jje	Jejueo
jjr	Bankal
jka	Kaera
jkm	Mobwa Karen
jko	Kubo
jkp	Paku Karen
jkr	Koro
jks	Amami Koniya Sign Language
jku	Labir
jle	Ngile
jls	Jamaican Sign Language
jma	Dima
jmb	Zibinju
jmc	Machame
jmd	Yamdena
jmi	Jimi
jml	Jumli
jmn	Makuri Naga
jmr	Kamara
jms	Mashi
jmw	Mouwase
jmx	Western Juxtlahuaca Mixtec
jna	Jangshung
jnd	Jandavra
jng	Yangman
jni	Janji
jnj	Yemsa
jnl	Rawat
jns	Jaunsari
job	Kiviila
jod	Wojenaka
jog	Jogi
jor	Jorá
jos	Jordanian Sign Language
jow	Jowulu
jpn	Japanese
jpr	Dzhidi
jqr	Jaqaru
jra	Jarai
jrr	Jiru
jrt	Jakattoe
jru	Japreria
jsl	Japanese Sign Language
jua	Júma
jub	Wannu
juc	Jurchen
jud	Worodougou
juh	Hõne
jui	Ngadjuri
juk	Wapan
jul	Jirel
jum	Jumjum
jun	Juang
juo	Jiba
jup	Hupdë
jur	Jurúna
jus	Jumli Sign Language
juu	Juu
juw	Wãpha
juy	Juray
jvd	Javindo
jvn	Suriname Javanese
jwi	Jwira-Pepesa
jya	Jiarong
jye	Judeo-Yemeni Arabic
jyy	Jaya
kaa	Karakalpak
kab	Kabyle
kac	Jingpho
kad	Adara
kae	Ketangalan
kaf	Katso
kag	Kajaman
kah	Kara
kai	Karekare
kaj	Jju
kak	Kalanguya
kal	Greenlandic
kam	Kamba
kan	Kannada
kao	Xaasongaxango
kap	Bezhta
kaq	Capanahua
kas	Kashmiri
kat	Georgian
kav	Katukína
kax	Kao
kay	Kamayurá
kaz	Kazakh
kba	Kalarko
kbb	Kaxuiâna
kbc	Kadiwéu
kbd	Kabardian
kbe	Kanju
kbg	Khamba
kbh	Camsá
kbi	Kaptiau
kbj	Kari
kbk	Koiari
kbl	Kanembu
kbm	Iwal
kbn	Kare
kbo	Keliko
kbp	Kabiyè
kbq	Kamano
kbr	Kafa
kbs	Kande
kbt	Abadi
kbu	Kabutra
kbv	Dla
kbw	Kaiep
kbx	Ap Ma
kby	Manga Kanuri
